hospital_name,last_updated_on,version,hospital_location,hospital_address,license_number|AL,"To the best of its knowledge and belief, the hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date indicated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grove Hill Memorial Hospital,8/1/2024,2.0.0,Grove Hill Memorial Hospital,"295 South Jackson Street, Grove Hill, AL 36451",63-0436871 | AL,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,code | 1,code |1| type,setting,drug_unit_of_measurement,drug_type_of_measurement,standard_charge|gross,standard_charge|discounted_cash,,modifiers,standard_charge|[BCBS]|[Alabama] |negotiated_dollar,standard_charge|[Medicare]|[Alabama] |negotiated_dollar,standard_charge|[Aetna]|[Alabama] | negotiated_dollar,standard_charge|[Cigna]|[Alabama] |negotiated_dollar,standard_charge|[Humana]|[Alabama] |negotiated_dollar,standard_charge|[Medicaid]|[Alabama] |negotiated_dollar,standard_charge|[BCBS]|[Alabama]|negotiated_percentage,standard_charge|[Medicare]|[Alabama]|negotiated_percentage,standard_charge|[Aetna]|[Alabama]|negotiated_percentage,standard_charge|[Cigna]|[Alabama]|negotiated_percentage,standard_charge|[Humana]|[Alabama]|negotiated_percentage,standard_charge|[Medicaid]|[Alabama]|negotiated_percentage,standard_charge|[BCBS]|[Alabama]|negotiated_algorithm,standard_charge|[Medicare]|[Alabama]|negotiated_algorithm,standard_charge|[Aetna]|[Alabama]|negotiated_algorithm,standard_charge|[Cigna]|[Alabama]|negotiated_algorithm,standard_charge|[Humana]|[Alabama]|negotiated_algorithm,standard_charge|[Medicaid]|[Alabama]|negotiated_algorithm,standard_charge|min,standard_charge|max,standard_charge|[BCBS] |[Alabama] |methodology,standard_charge|[Medicare] |[Alabama] |methodology,standard_charge|[Aetna] |[Alabama] |methodology,standard_charge|[Cigna] |[Alabama] |methodology,standard_charge|[Humana] |[Alabama] |methodology,standard_charge|[Medicaid] |[Alabama] |methodology,estimated_amount|[BCBS]|[Alabama],estimated_amount|[Medicare]|[Alabama],estimated_amount|[Aetna]|[Alabama],estimated_amount|[Cigna]|[Alabama],estimated_amount|[Humana]|[Alabama],estimated_amount|[Medicaid]|[Alabama],additional_generic_notes,additional_payer_notes|[BCBS]|[Alabama],additional_payer_notes|[Medicare]|[Alabama],additional_payer_notes|[Aetna]|[Alabama],additional_payer_notes|[Cigna]|[Alabama],additional_payer_notes|[Humana]|[Alabama],additional_payer_notes|[Medicaid]|[Alabama]
ARTHROCENTESIS MAJOR J,20610,CPT,Both,,,786,472,,,157.2,157.2,157.2,157.2,157.2,157.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,157.2,590,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,157.2,157.2,157.2,157.2,157.2,157.2,N/A,,,,,,
BLOOD PATCH,62273,CPT,Both,,,1950,1170,,,390,390,390,390,390,390,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,390,1463,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,390,390,390,390,390,390,N/A,,,,,,
COVID ANTIBODIES,86769,CPT,Both,,,85,51,,,17,17,17,17,17,17,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,17,64,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,17,17,17,17,17,17,N/A,,,,,,
COLONOSCOPY,45378,CPT,Both,,,2108,1265,,,421.6,421.6,421.6,421.6,421.6,421.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,421.6,1581,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,421.6,421.6,421.6,421.6,421.6,421.6,N/A,,,,,,
COVID-2/Flu/RSV PCR (I,87637,CPT,Both,,,175,105,,QW,35,35,35,35,35,35,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,35,131,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,35,35,35,35,35,35,N/A,,,,,,
DEBRIDEMENT SUBCUTANEO,11042,CPT,Both,,,1435,861,,,287,287,287,287,287,287,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,287,1076,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,287,287,287,287,287,287,N/A,,,,,,
I AND D BARTHOLINS GLA,56420,CPT,Both,,,1156,694,,,231.2,231.2,231.2,231.2,231.2,231.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,231.2,867,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,231.2,231.2,231.2,231.2,231.2,231.2,N/A,,,,,,
I AND D SIMPLE,10060,CPT,Both,,,597,358,,,119.4,119.4,119.4,119.4,119.4,119.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,119.4,448,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,119.4,119.4,119.4,119.4,119.4,119.4,N/A,,,,,,
INSERTED PIC LINE,36489,CPT,Both,,,597,358,,,119.4,119.4,119.4,119.4,119.4,119.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,119.4,448,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,119.4,119.4,119.4,119.4,119.4,119.4,N/A,,,,,,
LACERATION LAYER REPAI,12052,CPT,Both,,,445,267,,,89,89,89,89,89,89,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,89,334,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,89,89,89,89,89,89,N/A,,,,,,
LAC REP INTER 2.6-7.5,12032,CPT,Both,,,596,358,,,119.2,119.2,119.2,119.2,119.2,119.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,119.2,447,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,119.2,119.2,119.2,119.2,119.2,119.2,N/A,,,,,,
ARTHROCENTESIS MINOR J,20605,CPT,Both,,,597,358,,,119.4,119.4,119.4,119.4,119.4,119.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,119.4,448,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,119.4,119.4,119.4,119.4,119.4,119.4,N/A,,,,,,
"LAC REP INTER 2.5< NK,",12041,CPT,Both,,,1050,630,,,210,210,210,210,210,210,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,210,788,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,210,210,210,210,210,210,N/A,,,,,,
LAC REP SIMP 2.5< SCLP,12001,CPT,Both,,,550,330,,,110,110,110,110,110,110,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,110,413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,110,110,110,110,110,110,N/A,,,,,,
LAC REP SIMP 2.6-7.5cm,12002,CPT,Both,,,550,330,,,110,110,110,110,110,110,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,110,413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,110,110,110,110,110,110,N/A,,,,,,
LAC REP SIMP 7.6-12.5S,12004,CPT,Both,,,331,199,,,66.2,66.2,66.2,66.2,66.2,66.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.2,248,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.2,66.2,66.2,66.2,66.2,66.2,N/A,,,,,,
LAC REP SIMP 12.6-20 S,12005,CPT,Both,,,572,343,,,114.4,114.4,114.4,114.4,114.4,114.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,114.4,429,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,114.4,114.4,114.4,114.4,114.4,114.4,N/A,,,,,,
LAC REP INTER 2.5 CM<,12031,CPT,Both,,,1209,725,,,241.8,241.8,241.8,241.8,241.8,241.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,241.8,907,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,241.8,241.8,241.8,241.8,241.8,241.8,N/A,,,,,,
LAC REP INTER 7.6-12.5,12034,CPT,Both,,,1322,793,,,264.4,264.4,264.4,264.4,264.4,264.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,264.4,992,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,264.4,264.4,264.4,264.4,264.4,264.4,N/A,,,,,,
LAC REP INTER 2.6-7.5,12042,CPT,Both,,,977,586,,,195.4,195.4,195.4,195.4,195.4,195.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,195.4,733,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,195.4,195.4,195.4,195.4,195.4,195.4,N/A,,,,,,
LAC REP SIMP 2.5< FACE,12011,CPT,Both,,,550,330,,,110,110,110,110,110,110,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,110,413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,110,110,110,110,110,110,N/A,,,,,,
LAC REP SIMP 2.6-5.0 F,12013,CPT,Both,,,550,330,,,110,110,110,110,110,110,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,110,413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,110,110,110,110,110,110,N/A,,,,,,
LAC REP SIMP 5.1-7.5FA,12014,CPT,Both,,,361,217,,,72.2,72.2,72.2,72.2,72.2,72.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,72.2,271,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,72.2,72.2,72.2,72.2,72.2,72.2,N/A,,,,,,
REDUCTION DISLOCATION,27560,CPT,Both,,,597,358,,,119.4,119.4,119.4,119.4,119.4,119.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,119.4,448,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,119.4,119.4,119.4,119.4,119.4,119.4,N/A,,,,,,
REMOVAL OF FOREIGN BOD,10120,CPT,Both,,,1578,947,,,315.6,315.6,315.6,315.6,315.6,315.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,315.6,1184,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,315.6,315.6,315.6,315.6,315.6,315.6,N/A,,,,,,
REPLACE GASTROSTOMY TU,43762,CPT,Both,,,815,489,,,163,163,163,163,163,163,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,163,611,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,163,163,163,163,163,163,N/A,,,,,,
THORACENTESIS,32554,CPT,Both,,,1872,1123,,,374.4,374.4,374.4,374.4,374.4,374.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,374.4,1404,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,374.4,374.4,374.4,374.4,374.4,374.4,N/A,,,,,,
INTUBATION EMER AIRWAY,31500,CPT,Both,,,649,389,,,129.8,129.8,129.8,129.8,129.8,129.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,129.8,487,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,129.8,129.8,129.8,129.8,129.8,129.8,N/A,,,,,,
IO INTRAOSSEOUS IV ACC,36680,CPT,Both,,,436,262,,,87.2,87.2,87.2,87.2,87.2,87.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,87.2,327,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,87.2,87.2,87.2,87.2,87.2,87.2,N/A,,,,,,
EGD GASTROSCOPE,43235,CPT,Both,,,1890,1134,,,378,378,378,378,378,378,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,378,1418,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,378,378,378,378,378,378,N/A,,,,,,
TREAT FINGER DISLOCATI,26770,CPT,Both,,,373,224,,,74.6,74.6,74.6,74.6,74.6,74.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,74.6,280,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,74.6,74.6,74.6,74.6,74.6,74.6,N/A,,,,,,
"LAC REP INTER,FACE,EAR",12053,CPT,Both,,,827,496,,,165.4,165.4,165.4,165.4,165.4,165.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,165.4,620,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,165.4,165.4,165.4,165.4,165.4,165.4,N/A,,,,,,
LAC REP COMPX;TRUNK;2.,13101,CPT,Both,,,1571,943,,,314.2,314.2,314.2,314.2,314.2,314.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,314.2,1178,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,314.2,314.2,314.2,314.2,314.2,314.2,N/A,,,,,,
LAC REP CMPL;TRNK;ea a,13102,CPT,Both,,,1599,959,,,319.8,319.8,319.8,319.8,319.8,319.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,319.8,1199,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,319.8,319.8,319.8,319.8,319.8,319.8,N/A,,,,,,
LAC REP CMPL;scalp arm,13121,CPT,Both,,,1279,767,,,255.8,255.8,255.8,255.8,255.8,255.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,255.8,959,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,255.8,255.8,255.8,255.8,255.8,255.8,N/A,,,,,,
LAC REP CMPL;sclp;ea a,13122,CPT,Both,,,316,190,,,63.2,63.2,63.2,63.2,63.2,63.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,63.2,237,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,63.2,63.2,63.2,63.2,63.2,63.2,N/A,,,,,,
LACERATION REPAIR 2.6,13132,CPT,Both,,,1110,666,,,222,222,222,222,222,222,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,222,833,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,222,222,222,222,222,222,N/A,,,,,,
LAC REP CMPL;face;ea a,13133,CPT,Both,,,1356,814,,,271.2,271.2,271.2,271.2,271.2,271.2,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,271.2,1017,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,271.2,271.2,271.2,271.2,271.2,271.2,N/A,,,,,,
"LAC REP CMPL;eyelids,n",13152,CPT,Both,,,1472,883,,,294.4,294.4,294.4,294.4,294.4,294.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,294.4,1104,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,294.4,294.4,294.4,294.4,294.4,294.4,N/A,,,,,,
I AND D ABSCESS COMPLI,10061,CPT,Both,,,1077,646,,,215.4,215.4,215.4,215.4,215.4,215.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,215.4,808,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,215.4,215.4,215.4,215.4,215.4,215.4,N/A,,,,,,
PUNTURE DRAINAGE OF LE,10160,CPT,Both,,,495,297,,,99,99,99,99,99,99,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,99,371,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,99,99,99,99,99,99,N/A,,,,,,
PARACENTESIS W/O GUIDA,49082,CPT,Both,,,2480,1488,,,496,496,496,496,496,496,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,496,1860,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,496,496,496,496,496,496,N/A,,,,,,
I AND D PERIRECTAL/ISC,46040,CPT,Both,,,3177,1906,,,635.4,635.4,635.4,635.4,635.4,635.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,635.4,2383,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,635.4,635.4,635.4,635.4,635.4,635.4,N/A,,,,,,
PARACENTESIS W/ US GUI,49083,CPT,Both,,,2500,1500,,,500,500,500,500,500,500,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,500,1875,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,500,500,500,500,500,500,N/A,,,,,,
TR FX RADIUS AND ULNA,25565,CPT,Both,,,2317,1390,,,463.4,463.4,463.4,463.4,463.4,463.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,463.4,1738,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,463.4,463.4,463.4,463.4,463.4,463.4,N/A,,,,,,
DEBRIDEMENT PARTIAL TH,16020,CPT,Both,,,550,330,,,110,110,110,110,110,110,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,110,413,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,110,110,110,110,110,110,N/A,,,,,,
CLOSED TX HIP DISLOCA,27250,CPT,Both,,,632,379,,,126.4,126.4,126.4,126.4,126.4,126.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,126.4,474,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,126.4,126.4,126.4,126.4,126.4,126.4,N/A,,,,,,
REPAIR NAIL BED,11760,CPT,Outpatient,,,1605,963,,,321,321,321,321,321,321,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,321,1204,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,321,321,321,321,321,321,N/A,,,,,,
"CIRCUMCISION:DEVICE, D",54150,CPT,Both,,,5490,3294,,52,1098,1098,1098,1098,1098,1098,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,1098,4118,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,1098,1098,1098,1098,1098,1098,N/A,,,,,,
CIRCUMCISION:EXCISION,54160,CPT,Both,,,4159,2495,,,831.8,831.8,831.8,831.8,831.8,831.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,831.8,3119,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,831.8,831.8,831.8,831.8,831.8,831.8,N/A,,,,,,
CIRCUMCISION: EXCISION,54161,CPT,Both,,,5490,3294,,,1098,1098,1098,1098,1098,1098,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,1098,4118,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,1098,1098,1098,1098,1098,1098,N/A,,,,,,
REDUCTION OF METATARSA,26600,CPT,Outpatient,,,514,308,,,102.8,102.8,102.8,102.8,102.8,102.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,102.8,386,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,102.8,102.8,102.8,102.8,102.8,102.8,N/A,,,,,,
CATH FOR BLADDER IRRIG,51700,CPT,Both,,,657,394,,,131.4,131.4,131.4,131.4,131.4,131.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,131.4,493,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,131.4,131.4,131.4,131.4,131.4,131.4,N/A,,,,,,
INSERT FOLEY CATH SIMP,51702,CPT,Both,,,345,207,,,69,69,69,69,69,69,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,69,259,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,69,69,69,69,69,69,N/A,,,,,,
URINARY CATH COMPLICAT,51703,CPT,Both,,,355,213,,,71,71,71,71,71,71,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,71,266,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,71,71,71,71,71,71,N/A,,,,,,
CONTROL NOSEBLEED SIMP,30901,CPT,Outpatient,,,364,218,,,72.8,72.8,72.8,72.8,72.8,72.8,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,72.8,273,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,72.8,72.8,72.8,72.8,72.8,72.8,N/A,,,,,,
REMOVE SKIN TAG UP TO,11201,CPT,Both,,,198,119,,,39.6,39.6,39.6,39.6,39.6,39.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,39.6,149,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,39.6,39.6,39.6,39.6,39.6,39.6,N/A,,,,,,
APPLY SHORT LEG SPLINT,29515,CPT,Both,,,333,200,,,66.6,66.6,66.6,66.6,66.6,66.6,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,66.6,250,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,66.6,66.6,66.6,66.6,66.6,66.6,N/A,,,,,,
REDUCTION OF SHOULD WO,23650,CPT,Both,,,645,387,,,129,129,129,129,129,129,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,129,484,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,129,129,129,129,129,129,N/A,,,,,,
TETANUS/MISC VACC ADMI,90471,CPT,Both,,,190,114,,,38,38,38,38,38,38,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38,142,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38,38,38,38,38,38,N/A,,,,,,
IV INJ PUSH INITIAL OU,96374,CPT,Both,,,627,376,,,125.4,125.4,125.4,125.4,125.4,125.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,125.4,470,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,125.4,125.4,125.4,125.4,125.4,125.4,N/A,,,,,,
IV INFUSION UP TO 1 HR,96365,CPT,Both,,,627,376,,,125.4,125.4,125.4,125.4,125.4,125.4,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,125.4,470,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,125.4,125.4,125.4,125.4,125.4,125.4,N/A,,,,,,
IV INFUSION 16 MIN-1HR SEQ,96367,CPT,Both,,,190,114,,,38,38,38,38,38,38,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38,142,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38,38,38,38,38,38,N/A,,,,,,
IM/SQ  INJECTION FEE,96372,CPT,Both,,,190,114,,,38,38,38,38,38,38,0.2,0.2,0.2,0.2,0.2,0.2,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,20% of base rate,38,142,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,Fee schedule,38,38,38,38,38,38,N/A,,,,,,
